Index;Tid;I1;U1;U2;HMI_trig;IO_trig;I_95_start;I_105_start;I_95_trip;I_105_trip;Bryterfeilvern
312;874843;321;199;197;0;0;0;0;0;0;0
313;877656;368;196;194;0;0;0;0;0;0;0
314;880469;385;199;200;0;0;0;0;0;0;0
315;883282;324;204;197;0;0;0;0;0;0;0
316;886095;213;204;202;0;0;0;0;0;0;0
317;888908;97;199;197;0;0;0;0;0;0;0
318;891721;5;196;200;0;0;0;0;0;0;0
319;894534;-50;202;194;0;0;0;0;0;0;0
320;897347;-116;196;197;0;0;0;0;0;0;0
321;900160;-158;202;197;0;0;0;0;0;0;0
322;902973;-263;204;200;0;0;0;0;0;0;0
323;905786;-343;204;202;0;0;0;0;0;0;0
324;908599;-382;204;197;0;0;0;0;0;0;0
325;911412;-374;196;194;0;0;0;0;0;0;0
326;914225;-288;199;200;0;0;0;0;0;0;0
327;917038;-175;196;194;0;0;0;0;0;0;0
328;919851;-56;199;194;0;0;0;0;0;0;0
329;922664;5;202;202;0;0;0;0;0;0;0
330;925477;77;202;205;0;0;0;0;0;0;0
331;928290;135;204;200;0;0;0;0;0;0;0
332;931103;191;199;197;0;0;0;0;0;0;0
333;933916;282;202;197;0;0;0;0;0;0;0
334;936729;357;199;197;0;0;0;0;0;0;0
335;939542;390;202;197;0;0;0;0;0;0;0
336;942355;354;202;200;0;0;0;0;0;0;0
337;945168;249;204;202;0;0;0;0;0;0;0
338;947981;141;202;200;0;0;0;0;0;0;0
339;950794;36;199;200;0;0;0;0;0;0;0
340;953607;-22;196;197;0;0;0;0;0;0;0
341;956420;-100;199;197;0;0;0;0;0;0;0
342;959233;-141;199;197;0;0;0;0;0;0;0
343;962046;-222;202;197;0;0;0;0;0;0;0
344;964859;-321;202;202;0;0;0;0;0;0;0
345;967672;-374;202;200;0;0;0;0;0;0;0
346;970485;-388;199;202;0;0;0;0;0;0;0
347;973298;-330;202;200;0;0;0;0;0;0;0
348;976111;-219;199;194;0;0;0;0;0;0;0
349;978924;-97;199;194;0;0;0;0;0;0;0
350;981737;-6;199;194;0;0;0;0;0;0;0
351;984550;55;202;197;0;0;0;0;0;0;0
